Date,Time,Network,Content Type,Sent by,Post,Impressions,Potential Reach,Engagement Rate (per Impression),Engagements,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Other Post Clicks,Post Clicks (All),Post Media Clicks,Post Hashtag Clicks,Post Detail Expand Clicks,Profile Clicks,Other Engagements,Follows from Post,Unfollows from Post,Media Views
05/10/2022,2:26 PM,Twitter,Photo,Blessing Ubah,"This is to say thank you to our esteemed clients and partners for trusting us as your one-stop financial services provider. 
This win is our win 🥇
#ITCANBE https://t.co/cnFn4ixstO","1,738","329,447",5.18%,90,29,11,2,0,0,48,48,29,0,13,6,0,0,0,29
05/10/2022,4:34 PM,Twitter,Photo,Blessing Ubah,"Your business is our business.
Bring us in and leave the worries to your trusted partner 😉
#WealthWednesday
#ITCANBE https://t.co/qNCVcXC7Ky","1,109","329,191",2.34%,26,8,1,2,0,0,15,15,14,0,1,0,0,0,0,14
05/10/2022,5:36 PM,Twitter,Photo,Blessing Ubah,"Don’t be told about it. 
Save now to qualify for the monthly draw.
#CustomerServiceWeek2022
#ITCANBE https://t.co/PDhFTgRDps","1,254","327,883",1.67%,21,6,3,0,0,0,12,12,9,1,1,1,0,0,0,9
05/10/2022,6:36 PM,Twitter,Photo, ,"Who is up for a music and comedy night? 💃🏾🕺🏾
Comment the full meaning of IBTC to win a ticket.
10 tickets are up for grabs!
This is only open to Lagos residents.
#ITCANBE https://t.co/3O97cOp626","4,603","329,303",4.41%,203,27,27,2,0,0,147,147,57,3,73,14,0,0,0,57
05/10/2022,7:40 PM,Twitter,Photo,Blessing Ubah,"With an effective yield of 11.877% for two years and 12.969% for three years, the FGN Savings Bond is another way to grow your wealth!
Hurry now and click https://t.co/WXY4xvS9J8 to invest in the October offer for FGN Bonds.
#ITCANBE https://t.co/NFosRM8Zvz",991,"327,892",2.62%,26,5,4,1,0.50%,5,11,16,4,0,5,2,0,0,0,4
04/10/2022,9:00 AM,Twitter,Photo,Sophia Amuka,"You can plan the future of their dreams with a Stanbic IBTC Education Trust.
Simply send an email to SITLAgency@stanbicibtc.com to get started.
#ITCANBE https://t.co/4NomY1UDLu","1,354","328,766",2.22%,30,7,8,1,0,0,14,14,2,1,7,4,0,0,0,2
04/10/2022,1:14 PM,Twitter,Photo, ,"Olufunke will be live on 95.1 Wazobia FM Lagos on Wednesday 05 October by 05:45pm (WAT), discussing why you deserve to win in the Stanbic IBTC Reward4Saving promo!
#ITCANBE
#Reward4Saving https://t.co/1NsQQH6Vqp","1,111","329,156",2.25%,25,5,5,2,0,0,13,13,7,0,1,5,0,0,0,7
04/10/2022,3:00 PM,Twitter,Photo,Sophia Amuka,"Need to get your bank statement ASAP?
Log on to your internet banking portal to get it! 😉 

#ITCANBE https://t.co/vQJyGPt3gy",951,"327,761",0.84%,8,2,1,0,0,0,5,5,4,0,1,0,0,0,0,4
04/10/2022,5:01 PM,Twitter,Photo,Sophia Amuka,"Advanced technologies that provide you with smart options to carry out your financial needs, that's nothing less than what we will offer.
You deserve the best 💙
#CustomerServiceWeek
#ITCANBE https://t.co/CaoNYhmXVY",915,"333,318",3.72%,34,7,4,3,0,0,20,20,12,1,4,3,0,0,0,12
04/10/2022,5:40 PM,Twitter,Photo, ,"It's time to get rewarded 😎
Hurry now and type the first three words you see.
The fastest fingers win, let's go! 

#CustomerServiceWeek2022 
#ITCANBE https://t.co/gMd4sAILoG","6,649","329,796",4.80%,319,35,81,10,0,0,193,193,108,7,69,9,0,0,0,108
04/10/2022,6:00 PM,Twitter,Video,Sophia Amuka,"Catch the replay of the Africa-China expo on the Stanbic IBTC Events app. 
Download from your app store today- https://t.co/fhl0DCrNKZ
#AfricaChinaTradeExpo​​
#GoForGrowth​​
#ITCANBE https://t.co/TVNtA3zMxL",825,"327,790",1.70%,14,4,4,0,0%,0,6,6,4,0,1,1,0,0,0,70
04/10/2022,6:00 PM,Twitter,Photo, ,"Tune in to 95.1 Wazobia FM Port-Harcourt, on Wednesday 05 October by 05:45pm (WAT), to listen to Awoju discuss why you deserve to win in the Stanbic IBTC Reward4Saving promo!
#ITCANBE
#Reward4Saving https://t.co/SRkc5TzyFj",794,"329,135",1.76%,14,7,2,2,0,0,3,3,2,0,1,0,0,0,0,2
03/10/2022,8:00 AM,Twitter,Photo,Sophia Amuka,"Go for your dreams, let nothing stop you.

#GoForIt
#MotivationMonday
#ITCANBE https://t.co/H2Z2szFlWs","1,615","329,982",3.41%,55,12,7,2,0,0,34,34,9,0,18,7,0,0,0,9
03/10/2022,12:56 PM,Twitter,Video, ,"Welcome to the 2022 Customer Service Week 💃🏾🕺🏾
Thank you for letting us serve you.
We will continuously improve our services to meet your expectations because you are valuable to us 💙
#CustomerServiceWeek
#ITCANBE https://t.co/fF6NxWcFUW","1,507","330,586",4.64%,70,12,4,3,0,0,51,51,26,3,14,8,0,0,0,129
03/10/2022,1:00 PM,Twitter,Video,Sophia Amuka,"At Stanbic IBTC, we are change makers committed to the growth of your business and ecosystem. With our capabilities and expertise, we ensure client satisfaction. For more information, please send an email to callme@stanbicibtc.com or securitieslending@stanbicibtc.com.
#ITCANBE https://t.co/7daoJMzluK","1,088","329,179",2.11%,23,5,3,2,0,0,13,13,4,0,7,2,0,0,0,77
03/10/2022,6:00 PM,Twitter,Photo,Sophia Amuka,"With PrimePay, you can make borderless transactions and receive payments with zero stress.
Click https://t.co/ArKzKx8oSs to get started.
#ITCANBE https://t.co/ziNnsDw7tX","1,040","329,207",4.23%,44,9,2,2,0.87%,9,22,31,17,0,3,2,0,0,0,17
02/10/2022,9:00 AM,Twitter,Video,Sophia Amuka,"Do more with EZ Cash this weekend!
Log in to the mobile app or dial *909*44# to get started!

#ITCANBE https://t.co/hn6RQJTTgP","1,778","327,526",4.50%,80,6,10,0,0,0,64,64,39,2,18,5,0,0,0,152
02/10/2022,12:00 PM,Twitter,Photo,Sophia Amuka,"You have the freedom to share, but not your PIN and passwords.
If you suspect that your account has been compromised, call 0700 909 909 909 or send an email to CustomerCareNigeria@stanbicibtc.com
#ITCANBE https://t.co/i90FFoPH92",986,"327,545",2.13%,21,5,2,0,0,0,14,14,1,0,8,5,0,0,0,1
02/10/2022,3:00 PM,Twitter,Video,Sophia Amuka,"We took the #GoodLife conversation with @RicHassani to radio!
For more information on what the good life is all about, call 01 270 6801 or send an email to insure@stanbicibtc.com
#InsuranceCoverMe
#GoForLife https://t.co/hTCEvoRfxU","1,051","327,772",2.38%,25,6,4,1,0,0,14,14,8,0,4,2,0,0,0,69
02/10/2022,7:26 PM,Twitter,Text, ,"You have the freedom to choose!
What’s your preferred self-service platform.
#ITCANBE","1,438","328,871",6.95%,100,6,4,1,0,0,14,14,0,3,8,3,75,0,0,0
01/10/2022,8:00 AM,Twitter,Video, ,"Happy Independence day to our great nation 🇳🇬🇳🇬
Remember, the Nigeria of your dreams begins with the steps you take today. 
#NigeriaAt62
#ITCANBE https://t.co/7UB3zW5HF6","1,083","330,964",5.08%,55,16,4,3,0,0,32,32,21,0,8,3,0,0,0,73
01/10/2022,11:00 AM,Twitter,Photo,Sophia Amuka,"How well do you know your Nigerian monuments? 
Match correctly to show your ‘Nigerianness’
#ITCANBE
#NigeriaAt62 https://t.co/bXAgVYlFrg","1,755","329,804",4.22%,74,15,6,2,0,0,51,51,35,0,12,4,0,0,0,35
01/10/2022,1:47 PM,Twitter,Photo,Blessing Ubah,"To learn more about our environmental and social performance in 2022.
Visit https://t.co/4UctFGerM3 and click on ‘Sustainability Saturday’  to read our Sustainability report.
#SustainabilitywithStanbicIBTC
#ITCANBE https://t.co/rbnpjyEKIU",849,"327,459",1.88%,16,4,2,0,0%,0,10,10,2,0,4,4,0,0,0,2
01/10/2022,5:00 PM,Twitter,Video,Sophia Amuka,"Are you unable to perform transactions because your account has been frozen?
Follow these easy steps to unfreeze your account and start transacting!
#ITCANBE https://t.co/DHLxRsBpa8","1,761","328,845",6.53%,115,18,9,2,0,0,86,86,59,0,23,4,0,0,0,176
30/09/2022,9:00 AM,Twitter,Photo,Sophia Amuka,"Nigeria is our home, and we drive her growth!
Find a Stanbic IBTC bank branch in any state you are!
Click https://t.co/ojmeGouJ1Y to see our list of branches.
#NigeriaAt62
#ITCANBE https://t.co/vfMnQGFiJf","1,044","329,236",5.17%,54,6,11,2,0.48%,5,30,35,4,0,15,11,0,0,0,4
30/09/2022,12:00 PM,Twitter,Photo,Sophia Amuka,"Did you know that before ‘Arise O compatriots’ Nigeria had a national anthem?
Fill in the gaps!
#NigeriaAt62
#ITCANBE https://t.co/w9L1Ix3vkE","4,118","328,808",3.23%,133,22,19,4,0,0,88,88,27,6,40,15,0,0,0,27
30/09/2022,2:56 PM,Twitter,Link, ,https://t.co/POOTshhCi6,"1,072","332,697",11.47%,123,3,16,2,0%,0,102,102,0,0,98,4,0,0,0,0
30/09/2022,3:00 PM,Twitter,Photo,Sophia Amuka,"Keep the ball rolling, we are here with you all the way!
Click https://t.co/8ugZsB99zc and let’s deliver the tomorrow of your dreams.

#ITCANBE
#GoForAnExtraordinaryFuture https://t.co/Kb3mPSC7tV",923,"328,663",3.47%,32,5,2,1,0.22%,2,22,24,3,1,13,5,0,0,0,3
30/09/2022,3:59 PM,Twitter,Link, ,"Don’t just dream about it, you too can live a good life 😉 
We discussed all you need to know about Life Insurance.
Click to listen 😊
#InsuranceCoverMe
#ITCANBE
https://t.co/POOTshzd9E",876,"327,331",2.40%,21,8,2,0,0%,0,11,11,0,1,8,2,0,0,0,0
30/09/2022,6:00 PM,Twitter,Photo, ,"Raise your hand if you knew 😁
🇳🇬🇳🇬
#NigeriaAt62
#ITCANBE https://t.co/hydK081Yqm","1,637","330,811",3.79%,62,20,7,5,0.06%,1,29,30,14,0,8,7,0,0,0,14
29/09/2022,9:00 AM,Twitter,Photo,Sophia Amuka,"Stay on top of your transactions like you never left!
Send an email to PlatinumSupportCentre@stanbicibtc.com to open a Diaspora Account today.
#ITCANBE https://t.co/hZkCUmFCfz","1,372","327,175",3.06%,42,7,13,0,0.15%,2,20,22,6,0,12,2,0,0,0,6
29/09/2022,2:00 PM,Twitter,Photo,Sophia Amuka,"We have a diverse team of experienced fund managers to help grow your wealth!
Send an email to assetmanagement@stanbicibtc.com to open a mutual funds account today.
#ITCANBE https://t.co/sxZE7LC7ei","1,332","331,774",4.28%,57,7,7,1,0,0,42,42,28,0,9,5,0,0,0,28
29/09/2022,6:00 PM,Twitter,Photo,Sophia Amuka,"Celebrate Nigeria!
Any fun fact about landmarks in your state people don’t know about?
Share in the comments.
#NigeriaAt62
#ITCANBE https://t.co/38ZzTYOPPB","1,552","328,538",3.35%,52,15,8,3,0,0,26,26,6,1,18,1,0,0,0,6
28/09/2022,3:43 PM,Twitter,Photo,Sophia Amuka,"How well do you know your roots? 
Comment how you say “independence” in your native language.
#NigeriaAt62
#ITCANBE https://t.co/xXsS4Mlsqz","3,818","328,550",2.12%,81,21,16,4,0.03%,1,39,40,11,2,16,10,0,0,0,11
28/09/2022,4:49 PM,Twitter,Text, ,Do you have a life insurance cover?,523,"327,092",12.62%,66,1,1,0,0,0,11,11,0,0,7,4,53,0,0,0
28/09/2022,5:50 PM,Twitter,Text, ,Do you have a life insurance cover?,"1,206","327,068",6.47%,78,3,2,0,0,0,7,7,0,0,5,2,66,0,0,0
28/09/2022,6:00 PM,Twitter,Photo,Sophia Amuka,"Join Blessing Oladipo on tomorrow’s edition of Smooth FM’s Business Express as she shares capital market updates.
You can listen live here: https://t.co/VxuYEssrF3
#ITCANBE https://t.co/SqzeuvjowZ",855,"328,415",2.57%,22,6,1,1,0.12%,1,13,14,7,0,2,4,0,0,0,7
28/09/2022,6:30 PM,Twitter,Photo,Sophia Amuka,"Tomorrow isn’t guaranteed but your returns will certainly start rolling in 😀 
Now make that call or send us an email today.
#WealthWednesday
#ITCANBE https://t.co/efmEj7BBsp","1,103","328,679",3.45%,38,8,3,2,0,0,25,25,21,0,3,1,0,0,0,21
28/09/2022,8:00 PM,Twitter,Photo,Sophia Amuka,"Together, we can #GoForGrowth.
#ITCANBE https://t.co/xSWABlpv8m","1,060","328,430",2.36%,25,2,4,1,0,0,18,18,6,1,6,5,0,0,0,6
28/09/2022,9:00 PM,Twitter,Photo,Sophia Amuka,"Convenience at your fingertips!
Buy airtime ‘instanta’!,
Dial *909*amount# to get started.
#ITCANBE https://t.co/zOZbfwvC6e","1,187","328,436",2.11%,25,5,6,1,0.17%,2,11,13,3,0,8,0,0,0,0,3
27/09/2022,8:00 AM,Twitter,Photo,Sophia Amuka,"Sharing our unique cultures is the beauty of tourism. To experience its beauty to the fullest, we must spread love and positivity. 
 
#WorldTourismDay2022
#ITCANBE https://t.co/EU4wr9e0q2","1,612","326,974",1.99%,32,9,8,0,0.06%,1,14,15,2,0,11,1,0,0,0,2
27/09/2022,1:00 PM,Twitter,Photo,Sophia Amuka,"Have your customers been complaining of spending time on payment queues? Give them an easy way to pay you through your NIBSS NQR code!
Click https://t.co/b8hWnxK9PJ to get started.
#ITCANBE https://t.co/XRDJEULPCe","1,131","349,619",2.30%,26,5,7,1,0%,0,13,13,2,0,10,1,0,0,0,2
27/09/2022,5:22 PM,Twitter,Photo,Blessing Ubah,"Don’t just dream about it, you too can live a good life 😉 
Join us on Friday, 30 Sept 2022 as we discuss all you need to know about Life Insurance.
#InsuranceCoverMe
#ITCANBE https://t.co/hcY2aS7WHi","1,549","327,010",2.97%,46,5,7,0,0,0,34,34,17,1,11,5,0,0,0,17
27/09/2022,6:00 PM,Twitter,Photo,Sophia Amuka,"Your loved ones should enjoy the legacy you’ve built, even in your absence. Write a will today.
Send an email to SITLAgency@stanbicibtc.com or call 01 270 6800 to get started.​
 
#ITCANBE https://t.co/8Hx2klup99","1,669","327,017",2.76%,46,11,10,0,0,0,25,25,5,0,16,4,0,0,0,5
26/09/2022,8:00 AM,Twitter,Video,Sophia Amuka,"Welcome to your week of pleasant surprises 💙 💙 
Claim it!

#ITCANBE 
#PowerUpMonday https://t.co/YkRXNwzA0a","1,418","334,073",6.91%,98,20,18,4,0,0,56,56,31,2,18,5,0,0,0,146
26/09/2022,11:00 AM,Twitter,Photo,Sophia Amuka,"Let's connect you to exhibitors that will facilitate seamless business trade between Nigeria and China.
Catch a replay of the Africa-China sessions on the Stanbic IBTC Events app. Download from your app store today - https://t.co/3mLQFoKDYj 

#AfricaChinaTradeExpo
#GoForGrowth https://t.co/axIhTZXzgt",857,"326,924",1.52%,13,0,3,0,0.23%,2,8,10,2,0,6,0,0,0,0,2
26/09/2022,3:00 PM,Twitter,Photo,Sophia Amuka,"You can visit  any country on your wish list when you win 2 Million naira in the Stanbic IBTC Reward4Saving Promo. Deposit a minimum of N10,000 into a Stanbic IBTC Savings account and leave for 30 days and stand a chance of winning. 
#ITCANBE https://t.co/pzsag2vB5L","1,540","330,651",3.44%,53,10,9,4,0.06%,1,29,30,7,0,15,7,0,0,0,7
26/09/2022,6:00 PM,Twitter,Photo,Sophia Amuka,"It’s not too late to invest in the stock market! 
Open a stockbroking account with zero naira and start trading like a pro!
Visit https://t.co/kmYuDUfuct to get started or send an email to StartWithZero@stanbicibtc.com.​
#ITCANBE https://t.co/dj6Y2xd7WT","1,107","326,976",3.52%,39,6,4,0,0.63%,7,22,29,5,2,9,6,0,0,0,5
25/09/2022,9:00 AM,Twitter,Photo,Sophia Amuka,"Everyone deserves to be included. By learning and teaching sign language, we promote unity and inclusion.
 
#WorldDeafDay
#ITCANBE https://t.co/tQaM3CjvVE","1,236","329,907",1.86%,23,10,3,3,0,0,7,7,4,0,3,0,0,0,0,4
25/09/2022,1:48 PM,Twitter,Photo,Sophia Amuka,"Be like Mr. Investor and invest right. Let us help you on this journey. ​
Visit https://t.co/fsPcg4OYzw to choose a plan that works for you.​
#InvestBeta​
#ITCANBE https://t.co/zRQnwXxziV","1,119","326,875",3.75%,42,9,1,0,0.36%,4,28,32,4,3,12,9,0,0,0,4
25/09/2022,6:11 PM,Twitter,Photo,Sophia Amuka,"Do you have questions about investing in the stock market? You can ask us. 
You can send an email to StartWithZero@stanbicibtc.com today.
#ITCANBE
#StartWithZero https://t.co/KSqrRxDHwh","2,237","328,135",2.24%,50,16,3,4,0,0,27,27,5,0,11,11,0,0,0,5
24/09/2022,8:00 AM,Twitter,Photo,Blessing Ubah,"Catch up with the biggest game of the #HiFL2022 season!🏆
It's the grand finale and only the champions will get to lift the trophy! ⚽
⏰ 3pm
🗺 Yabatech Sports Pavilion
🗓 Saturday, 24 September 2022.

#HiFLStanbicIBTC
#ITCANBE https://t.co/LmdeUXGuoX",923,"326,798",1.41%,13,5,0,0,0,0,8,8,7,0,1,0,0,0,0,7
24/09/2022,9:00 AM,Twitter,Photo,Sophia Amuka,"Traveling anytime soon and need your bank statement? 
That’s no big deal! 😉 
Follow these steps to access it easily with the Internet Banking. ​
#ITCANBE https://t.co/5KLD4EGIT1","1,115","327,178",1.52%,17,3,0,1,0,0,13,13,6,2,5,0,0,0,0,6
24/09/2022,12:00 PM,Twitter,Photo,Sophia Amuka,"Smoother transactions make your customers happy.
Ensure that your customers enjoy convenient payment with the Stanbic IBTC Mastercard Payment Gateway Service.
Visit https://t.co/7O18fGnHGC to get started.
#ITCANBE https://t.co/9X8aokgBO4","1,038","326,824",1.45%,15,2,4,0,0%,0,9,9,2,0,7,0,0,0,0,2
24/09/2022,4:00 PM,Twitter,Video,Blessing Ubah,"Are you watching the #HiFL2022 Final?

@FUOYEDazzlers_ Vs @KSUSteelers 

#HiFLStanbicIBTC
#StanbicIBTC https://t.co/JFU35mOrmb","1,072","327,285",3.45%,37,5,1,1,0,0,30,30,26,3,1,0,0,0,0,107
24/09/2022,4:33 PM,Twitter,Photo,Sophia Amuka,"And it's halftime at the #HiFL2022 Final!

Don't miss the next 45+ minutes. 😎

#HiFLStanbicIBTC 
#ITCANBE https://t.co/3V28tyI5aS","1,331","326,844",8.94%,119,11,1,0,0,0,107,107,96,1,6,4,0,0,0,96
24/09/2022,5:31 PM,Twitter,Video,Sophia Amuka,"Passion, sweat and goals, at the #HiFL2022 Final!

Current score is 3-1 as the clash continues.

#HiFLStanbicIBTC
#FUOYEVsKSU
#ITCANBE https://t.co/b3CAiYVBYw","1,573","326,849",2.86%,45,4,2,0,0,0,39,39,23,1,14,1,0,0,0,138
24/09/2022,6:00 PM,Twitter,Photo,Sophia Amuka,"Let’s help you plan a proper farewell so you can have everlasting memories of your loved one.
Visit https://t.co/HHqcXjkSrH to get started with the Stanbic IBTC Insurance Brokers. ​
#ITCANBE https://t.co/bYuWCIE2UH","1,002","326,987",1.80%,18,5,3,1,0.10%,1,8,9,3,0,3,2,0,0,0,3
23/09/2022,8:00 AM,Twitter,Video,Blessing Ubah,"Don’t miss the excitement, fun, and thrills in the #HiFL2022 grand finale!🤩🥳
It's only one trophy for one champion! ⚽
⏰ 3pm
🗺 Yabatech Sports Pavilion
🗓 Saturday, 24 September 2022.

#HiFLStanbicIBTC
#ITCANBE https://t.co/LT0EkLhjIu",704,"326,729",0.14%,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,38
23/09/2022,9:00 AM,Twitter,Video,Sophia Amuka,"70 people got N100,000 richer at the #Reward4Saving August live draw. It could be your turn next month!
All you need to do is make a deposit of N10,000 in a new or existing savings account or @easewallet to qualify. 
#ITCANBE https://t.co/0j8aW6w7cA","1,129","327,339",4.78%,54,5,9,1,0,0,39,39,12,3,22,2,0,0,0,111
23/09/2022,12:00 PM,Twitter,Photo,Sophia Amuka,"What sites come to mind when you see these pictures? 
 Whatever, your dreams, #ITCANBE 
 ✈️ ✈️ 🤔 
#ITCANBE https://t.co/sgSqBLwkMF",745,"326,964",2.55%,19,4,1,1,0,0,13,13,11,1,1,0,0,0,0,11
23/09/2022,12:01 PM,Twitter,Photo,Blessing Ubah,"The good life is calling!
Find out what it has in store for you by 3PM today.
Join the conversation on our Twitter pages.
#InsuranceCoverMe
#ITCANBE https://t.co/kSBouvlmZW",679,"327,880",4.57%,31,5,1,1,0,0,24,24,12,0,12,0,0,0,0,12
23/09/2022,12:09 PM,Twitter,Photo,Blessing Ubah,"We’re hard at work to get our mobile and online platform up and running again. Kindly bear with us. Thank you.
#ITCANBE https://t.co/bVkg0sujtM","1,233","326,754",3.41%,42,9,6,0,0,0,27,27,10,1,8,8,0,0,0,10
23/09/2022,2:26 PM,Twitter,Photo, ,"Free tickets up for grabs! 🕺🏾💃🏾

Hurry now, answer the question to win a free pass to the ""Khrisyarn and Friends Drums Comedy concert"".

P.S: This is only available for the first five Lagos residents.
#ITCANBE https://t.co/pyymy1z7QQ","2,369","329,210",3.67%,87,13,16,4,0,0,54,54,19,2,25,8,0,0,0,19
23/09/2022,3:00 PM,Twitter,Photo,Sophia Amuka,"Looking for a great way to invest? With the FGN Retail Savings Bond, you are sure of competitive returns.
Send an email to CallMe@stanbicibtc.com to get started.​
#ITCANBE https://t.co/LnY4VL9ZaH",988,"326,764",2.43%,24,4,3,0,0,0,17,17,3,0,13,1,0,0,0,3
23/09/2022,3:08 PM,Twitter,Photo,Blessing Ubah,"We appreciate your patience as the technical issues have been resolved.
We look forward to serving you better.

#ITCANBE https://t.co/LfheNUy77U","1,981","327,329",5.70%,113,20,15,2,0,0,75,75,28,0,35,12,1,1,0,28
23/09/2022,6:00 PM,Twitter,Photo,Sophia Amuka,"The moment of the week we’ve been waiting for 💃 🕺 
Weekend is for ______?

#ITCANBE https://t.co/zlceGKnryZ","1,248","328,040",1.60%,20,10,1,2,0,0,7,7,1,0,3,3,0,0,0,1
23/09/2022,9:24 PM,Twitter,Photo, ,"List of our N100,000 prize winners in the #Reward4Saving August live draw! 💃🕺
This could be you next month.
All you need to do is deposit N10,000 in a new or existing savings account or @easewallet to qualify.
#ITCANBE https://t.co/zHAQulL7jA","1,273","326,775",5.73%,73,3,1,0,0,0,69,69,60,2,5,2,0,0,0,60
22/09/2022,9:00 AM,Twitter,Photo,Sophia Amuka,"You create the vision; we will help you actualise it.
Switch to Stanbic IBTC Pension Managers and let’s win together.
Click https://t.co/zGC6xxmdRG to get started.

#ITCANBE
#GoForAnExtraordinaryFuture https://t.co/skOXY4YnBf",849,"328,156",2%,17,3,1,2,0.12%,1,10,11,4,0,4,2,0,0,0,4
22/09/2022,12:00 PM,Twitter,Photo,Sophia Amuka,"Our verified social media pages are -
Facebook - https://t.co/KGKpDCngGQ
LinkedIn - https://t.co/FKoajozED9
YouTube - https://t.co/sw8uPmPS28
Instagram - https://t.co/zAkcWI8U5h  
#ITCANBE https://t.co/bCkWCBws6v","1,042","330,104",3.45%,36,7,4,3,1.15%,12,10,22,3,0,5,2,0,0,0,3
22/09/2022,3:00 PM,Twitter,Photo,Sophia Amuka,"You can Bank with the easy code. 
Dial *909# now to begin! 
#ITCANBE https://t.co/aUgUWF8XpB","1,315","327,994",3.19%,42,6,2,1,0,0,33,33,23,0,6,4,0,0,0,23
22/09/2022,5:34 PM,Twitter,Photo,Blessing Ubah,"🤚🏾 if you know you deserve a good life!
Set your reminders, we are about to spill some good life secrets.
#InsuranceCoverMe
#ITCANBE https://t.co/eHZ1iVQDK7","1,218","328,379",4.19%,51,9,0,3,0,0,39,39,16,4,13,6,0,0,0,16
22/09/2022,6:00 PM,Twitter,Photo,Sophia Amuka,"Represent your state with pride! 😎 
Share your slogan in the comments.
#ITCANBE https://t.co/IRpSQq98Vl","2,495","328,003",2.97%,74,17,23,1,0,0,33,33,14,0,16,3,0,0,0,14
21/09/2022,3:03 PM,Twitter,Link, ,Set a reminder for my upcoming Space! https://t.co/yUNTDoZTwX,"1,144","326,530",1.05%,12,4,0,0,0%,0,8,8,0,0,3,5,0,0,0,0
21/09/2022,3:48 PM,Twitter,Photo, ,"Embracing our diversity is the way forward. Let’s work together so we can all benefit from a peaceful world.
#InternationalDayofPeace
#ITCANBE https://t.co/fBXINQwg96",862,"326,696",1.86%,16,5,1,2,0,0,8,8,1,0,4,3,0,0,0,1
21/09/2022,4:00 PM,Twitter,Photo,Sophia Amuka,"Do you know the mistakes people make when taking out a loan? 🤔
Then you shouldn't miss our Twitter Spaces conversations today, to find out more.  
Date: Wednesday, 21 September
Time: 6pm
#ITCANBE https://t.co/OX9tf14Zo1","2,134","330,211",3.70%,79,8,0,4,0,0,67,67,40,6,15,6,0,0,0,40
21/09/2022,5:00 PM,Twitter,Photo,Sophia Amuka,"If it matters to you, then it matters to us.
Let Stanbic IBTC Insurance Brokers help you get gadget cover today.
#WealthWednesday
#ITCANBE https://t.co/NWS7XngWD0","1,186","326,575",3.71%,44,7,2,0,0,0,35,35,14,0,16,5,0,0,0,14
21/09/2022,5:55 PM,Twitter,Link, ,https://t.co/yUNTDoZTwX,"3,170","383,387",10.19%,323,18,28,8,0.19%,6,263,269,0,0,251,12,0,0,0,0
21/09/2022,6:10 PM,Twitter,Link, ,"For more information on loans available to you 
➡️Smart Loan https://t.co/cL4MXdRtoJ
➡️Business Loans https://t.co/9lso7GcNCp
➡️Personal Loans https://t.co/cL4MXdRtoJ
➡️EZ Cash https://t.co/J46Yg3uoxu
➡️Device Financing - Dial *909*21# to get started
#ITCANBE","1,255","338,895",21.35%,268,4,7,3,12.67%,159,95,254,0,1,85,9,0,0,0,0
21/09/2022,6:36 PM,Twitter,Link, ,"Interested in any of our loans?
Click https://t.co/qUv1fh6KHa and we'll reach out to you.
#ITCANBE","1,079","329,881",10.19%,110,6,0,2,4.63%,50,52,102,0,2,37,13,0,0,0,0
20/09/2022,9:00 AM,Twitter,Photo,Sophia Amuka,"Join us in an hour as we discuss insights and perspectives on Securities Lending in Nigeria.
Register now if you haven’t: https://t.co/PvGRHS68I7.
#ITCANBE
#NGXSECURITIESLENDINGFORUM https://t.co/TzUTQhtCNy",893,"326,413",3.02%,27,3,8,0,0%,0,16,16,6,3,5,2,0,0,0,6
20/09/2022,11:00 AM,Twitter,Photo,Sophia Amuka,"Please share in the comments, you may be helping someone’s financial habits.
#ITCANBE https://t.co/vSFOsUdeqF","1,429","327,954",3.15%,45,9,14,2,0,0,20,20,5,0,12,3,0,0,0,5
20/09/2022,1:00 PM,Twitter,Photo,Sophia Amuka,"Is it wrong to take a loan? Join us tomorrow at 6pm as we discuss misconceptions around Loans, especially in Nigeria. Don't miss it!
#ITCANBE https://t.co/tl8V3AlAAw","1,510","326,432",3.11%,47,7,13,0,0,0,27,27,13,1,7,6,0,0,0,13
20/09/2022,4:00 PM,Twitter,Photo,Sophia Amuka,"Take advantage of global business opportunities made available through our Trade club. 
Join us today on https://t.co/0cMLZWFWJ7
#ITCANBE https://t.co/rdJSXJE7rx","1,073","326,427",2.70%,29,6,10,0,0%,0,13,13,6,0,7,0,0,0,0,6
20/09/2022,7:00 PM,Twitter,Photo,Sophia Amuka,"How do you do that?
By setting money aside for their education.
With the Stanbic IBTC Education Trust, you can rest easy knowing that your children’s education is SET.
Send an email to SITLAgency@stanbicibtc.com to begin.
#back2school
#SET
#ITCANBE https://t.co/P9Zb4bhOIJ","1,236","326,485",2.27%,28,8,3,1,0,0,16,16,5,0,7,4,0,0,0,5
19/09/2022,8:00 AM,Twitter,Photo,Sophia Amuka,"It’s money-making Monday!
Go out this week with the mindset that money will flow freely into your hands, the legit way.
Cheers to a new week 🥂 
#GoForIt
#MotivationMonday
#ITCANBE https://t.co/xnum9S2aCC","2,294","333,629",5.36%,123,27,18,9,0,0,69,69,30,4,26,9,0,0,0,30
