Date,Time,Network,Content Type,Sent by,Link,Post,Impressions,Organic Impressions,Reach,Organic Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Reactions,Likes,Comments,Saves
27/11/2022,4:41 PM,Instagram,Carousel,Blessing Ubah,https://www.instagram.com/p/CleENqSMNTe/,"Life happens, we know. 
But, with a Credit Life Policy, you are prepared to face anything that comes. 
To get started, send an email to insure@stanbicibtc.com or call 01 270 6801.
#ITCANBE",194,194,168,168,3.09%,3.57%,6,6,6,0,0
26/11/2022,7:31 AM,Instagram,Carousel, ,https://www.instagram.com/p/ClagjZcIs6V/,"Walk with us!
Wondering how you can join us in changing the life of a child living with limb loss? Download the Steps by Stanbic IBTC mobile app to walk #Together4ALimb and support the cause. 
Remember to share your pictures and tag us. 
Visit the link in our bio and click on 'Together4ALimb App' to download the app.

#ITCANBE","1,103","1,103",903,903,1.63%,1.99%,18,18,18,0,0
26/11/2022,7:32 AM,Instagram,Photo, ,https://www.instagram.com/p/Clagp2BINHL/,"#Repost @adenikeoyetunde 
• • • • • •
Sleep walking!!! 
.

Because @stanbicibtc says we should be #Together4ALimb this morning. I know 10 more kids will get free limbs and education trust each, it's worth the Saturday morning sleep.
.

You can still download STEPS by Stanbic Ibtc on android and apple phones
.

Remember, you can join, and also remember I'd be selecting 10 people to win 5k Internet vouchers each.
.

#Together4ALimb","2,393","2,393","2,204","2,204",4.22%,4.58%,101,99,99,2,0
26/11/2022,8:01 AM,Instagram,Video,Blessing Ubah,https://www.instagram.com/p/ClajzxrMjng/,"Are you ready to get your walk on? 🚶🏾‍♂️👣
Download the 'Steps by Stanbic IBTC' app and follow
these easy guides to join us as we #Together4ALimb.
Visit the link in our bio and click on 'Together4ALimb App' to download the app.
Ts and Cs apply
#VirtualT4AL2022
#ITCANBE",969,969,901,901,1.86%,2%,18,14,14,4,0
26/11/2022,8:23 AM,Instagram,Carousel, ,https://www.instagram.com/p/ClamatOIWlk/,"Have you started walking?
Be like Charles Omoera, CE Stanbic IBTC Trustees,  walking for children living with limb loss.

#TogetherForALimb
#ITCANBE","3,508","3,508","3,001","3,001",2.42%,2.83%,85,85,85,0,0
26/11/2022,8:31 AM,Instagram,Video,Blessing Ubah,https://www.instagram.com/p/ClanQzWMRdC/,"Are you ready to get your walk on? 🚶🏾‍♂️👣
Download the 'Steps by Stanbic IBTC' app and follow
these easy guides to join us as we #Together4ALimb.
Visit the link in our bio and click on 'Together4ALimb App' to download the app.
Ts and Cs apply
#VirtualT4AL2022
#ITCANBE","1,046","1,046",947,947,2.20%,2.43%,23,21,21,2,0
26/11/2022,9:25 AM,Instagram,Photo, ,https://www.instagram.com/p/ClatgymIuZC/,"#Repost @preciouspearl_official 
• • • • • •
@stanbicibtc #together4alimb #stanbicibtc 
Let’s all make the world a better place✌️",0,0,0,0,0,0,1,1,1,0,0
26/11/2022,9:28 AM,Instagram,Photo, ,https://www.instagram.com/p/Clat38PIHCP/,"Did you know that over 45 children have been fitted with prosthetic limbs so far?
They are the reason why our Head, Brand and Marketing, Bridget Oyefeso-Odusami walk #Together4ALimb.

You should join us!

#ITCANBE",0,0,0,0,0,0,0,0,0,0,0
26/11/2022,9:35 AM,Instagram,Photo, ,https://www.instagram.com/p/ClauqpAIjIK/,"Did you know that over 55 children have been fitted with prosthetic limbs so far?
They are the reason why our Head, Brand and Marketing, Bridget Oyefeso-Odusami walk #Together4ALimb.

You should join us!

#ITCANBE","3,482","3,482","3,187","3,187",3.02%,3.29%,105,97,97,5,3
26/11/2022,9:37 AM,Instagram,Photo, ,https://www.instagram.com/p/Clau-J0oocY/,"#Repost @hello__nike with 
• • • • • •
Out with @stanbicibtc for the #Together4ALimb charity walk to create awareness for children with limb loss.

With about 50 beneficiaries of prosthetics limbs and education trust so far, l'm proud to be a part of an brand that's transforming lives and inspiring hope for our little ones.

You too can join the #Together4ALimb walk by downloading the Steps by Stanbic IBTC app and logging your steps.
#StepsbyStanbicIBTC
#VirtualT4AL2022
#LetsWalkTogether",0,0,0,0,0,0,6,6,6,0,0
26/11/2022,10:14 AM,Instagram,Carousel, ,https://www.instagram.com/p/ClazJ_kod8f/,"Why are we walking #Together4ALimb today?
To bring hope and joy to children living with limb loss.
Join Wole Adeniyi, CE, Stanbic IBTC Bank, to walk for a worthy cause!

#Together4ALimb
#ITCANBE","5,864","5,864","5,167","5,167",3.56%,4.04%,209,201,201,3,5
26/11/2022,11:59 AM,Instagram,Carousel, ,https://www.instagram.com/p/Cla_NdOo2hA/,"We walk better when we walk together. Create memories and take a walk together with friends , family or Neighbours for a worthy cause.
Shout out to Olumide Oyetan, CE, Stanbic IBTC Pension Managers, Titi Ogungbesan, ED, Stanbic IBTC Insurance Limited and Bunmi Olarinoye, CE Stanbic IBTC Stockbrokers. 
#Together4ALimb
#ITCANBE","3,938","3,938","3,319","3,319",3.40%,4.04%,134,131,131,2,1
26/11/2022,8:57 PM,Instagram,Video,Blessing Ubah,https://www.instagram.com/p/Clb8vhXsCi7/,"Calling on all fashion and music enthusiast, here is an opportunity to #IgniteYourFuze. 
The world is ready to see just how creative you are. 
Visit https://bit.ly/StanbicIBTCFuzeFestival to register.
#IgniteYourFuze
#ITCANBE","1,278","1,278","1,211","1,211",2.11%,2.23%,27,25,25,0,2
25/11/2022,10:05 AM,Instagram,Carousel,Blessing Ubah,https://www.instagram.com/p/ClYNTpgOUR4/,"What will you be doing tomorrow? 
We will walk #Together4ALimb to raise awareness for children living with limb loss. 
Join us as we walk virtually via the Steps by Stanbic IBTC mobile app and stand a chance to win a surprise from us.
Visit the link in our bio and click on 'Together4ALimb App' to download the app.
Ts and Cs apply
#ITCANBE",171,171,156,156,3.51%,3.85%,6,5,5,1,0
25/11/2022,2:43 PM,Instagram,Carousel, ,https://www.instagram.com/p/ClYtH5kImsI/,"What will you be doing tomorrow? We will be walking #Together4ALimb to raise awareness for children living with limb loss. Join us as we walk virtually via the Steps by Stanbic IBTC mobile app and stand a chance to win a surprise from us.

Visit the link in our bio and click on 'Together4ALimb App' to download the app.
Ts and Cs apply
#ITCANBE","1,095","1,095",886,886,2.01%,2.48%,22,22,22,0,0
25/11/2022,6:58 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClZKYjROCQn/,"It’s time for all your hard work to finally pay off. Come win big,  doing what you love the most. 
Visit https://bit.ly/StanbicIBTCFuzeFestival to register.
#IgniteYourFuze
#ITCANBE","1,512","1,512","1,364","1,364",2.18%,2.42%,33,30,30,2,1
25/11/2022,7:29 PM,Instagram,Photo, ,https://www.instagram.com/p/ClZN4eBokqs/,"#Repost @ariyiikedimples 
• • • • • •
Every child should live a full and happy life regardless of disability. For the past 8 years, Stanbic IBTC has continued to support children living with limb loss with prosthesis and education trust; towards a better future. 
 
I'll be joining Stanbic IBTC on the #Together4ALimb walk
tomorrow morning at 8am to raise awareness for these amazing warriors. Please join me as we make a difference together. 
Click on the link below to download the Steps by Stanbic IBTC app today. @stanbicibtc 

10 people stand a chance to win #5000 internet vouchers. Ensure you share evidence of participation to win
#Together4ALimb 
#ITCANBE","1,209","1,209","1,100","1,100",1.57%,1.73%,19,18,18,1,0
25/11/2022,7:37 PM,Instagram,Photo, ,https://www.instagram.com/p/ClZOxdnIU8u/,"Us
Visit the link in out bio and click on 'Together4ALimb App' to download the app today.

#VirtualT4AL2022 
#Together4ALimb 
#ITCANBE","1,063","1,063",967,967,2.73%,3%,29,27,27,1,1
25/11/2022,7:37 PM,Instagram,Photo, ,https://www.instagram.com/p/ClZO2s7obgT/,"With

Visit the link in our bio and click on 'Together4ALimb App' to download the app today.

#VirtualT4AL2022 
#Together4ALimb 
#ITCANBE",804,804,736,736,2.24%,2.45%,18,15,15,3,0
25/11/2022,7:38 PM,Instagram,Photo, ,https://www.instagram.com/p/ClZO5j7ovqH/,"Walk

Visit the link in our bio and click on 'Together4ALimb App' to download the app today.

#VirtualT4AL2022 
#Together4ALimb 
#ITCANBE",978,978,917,917,5.42%,5.78%,53,22,22,31,0
24/11/2022,9:00 AM,Instagram,Carousel,Sophia Amuka,https://www.instagram.com/p/ClVhE2DMexr/,"Two more days to go! 
With our help, Darasimi can regain her confidence to interact with peers as equals and continue her education. 
Join us as we walk for all the children with limb loss.
Start walking virtually via the Steps by Stanbic IBTC mobile app to stand a chance to win a surprise from us. 
Click the link in our bio to download the app.
Ts and Cs apply
#ITCANBE",230,230,210,210,2.61%,2.86%,6,6,6,0,0
24/11/2022,1:33 PM,Instagram,Carousel, ,https://www.instagram.com/p/ClWAZsWo2mn/,"Two more days to go! 
With our help, Darasimi can regain her confidence to interact with peers as equals and continue her education. 
Join us as we walk for all the children with limb loss.
Start walking virtually via the Steps by Stanbic IBTC mobile app to stand a chance to win a surprise from us. 
Visit the link in our bio and click on 'Together4ALimb App' to download the app.
Ts and Cs apply
#ITCANBE","1,692","1,692","1,396","1,396",2.25%,2.72%,38,36,36,2,0
23/11/2022,3:31 PM,Instagram,Carousel,Sophia Amuka,https://www.instagram.com/p/ClTpCHbs6yX/,"Accidents happen, but you can be one step ahead with a Personal Accident Insurance plan from Stanbic IBTC. 
Call 01 277 0394 or email insurancesolution@stanbicibtc.com to get started now. 
#WealthWednesday 
#ITCANBE",993,993,769,769,1.61%,2.08%,16,16,16,0,0
23/11/2022,5:12 PM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/ClT0o-Xu9nW/,"Imagine becoming a millionaire doing what you love the most. This could be you 😉
Watch this space.

#IgniteYourFuze
#fuzefestival
#ITCANBE​","2,702","2,702","2,494","2,494",2.33%,2.53%,63,51,51,9,3
23/11/2022,7:32 PM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/ClUEmULO4e1/,"In three days' time, we will be walking for a cause. 
Start walking virtually via our #Together4ALimb app to stand a chance to win a surprise from us. 

#VirtualT4AL2022
#Together4ALimb
#ITCANBE","1,148","1,148","1,053","1,053",2.70%,2.94%,31,28,28,1,2
22/11/2022,10:28 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClQhjB2ufBT/,"Looking for more investment opportunities? 
With the FGN Retail Savings Bond, you are sure of competitive returns. ​​
Send an email now to CallMe@stanbicibtc.com to get started.​
#ITCANBE","5,283","5,283","4,957","4,957",2.33%,2.48%,123,89,89,26,8
22/11/2022,10:46 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClQjpGmuZmj/,"Football greatest are live!
You don’t want to miss a thing.
Visit your App Store to download the Stanbic IBTC SuperApp for easy subscriptions to your cable TV.

#ITCANBE","1,093","1,093",992,992,3.11%,3.43%,34,28,28,5,1
22/11/2022,1:35 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClQ2_pIMOjr/,"What do you love doing? 
Come showcase your talent and you might just go home 32 million naira richer 😉
#IgniteYourFuze
#ITCANBE","1,909","1,909","1,763","1,763",3.46%,3.74%,66,56,56,9,1
22/11/2022,1:50 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClQ4qefuv6y/,"Be alert and stay on top of your online game! 👀 
#ITCANBE","1,211","1,211","1,124","1,124",2.31%,2.49%,28,19,19,9,0
22/11/2022,4:46 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClRMzvAuKGw/,"“Every child should have the opportunity to receive a quality education” - Bill Frist.​
Send an email to SITLAgency@stanbicibtc.com or call 01 270 6800 to get started with the Stanbic IBTC Education Trust.​​

#ITCANBE",840,840,775,775,2.38%,2.58%,20,17,17,1,2
21/11/2022,7:40 AM,Instagram,Video,Blessing Ubah,https://www.instagram.com/p/ClNpiKtO96Q/,"There are a lot of goodies to achieve before the end of this year. 
Just work hard and believe! 🙂 
#PowerUpMonday​
#ITCANBE",841,841,794,794,6.42%,6.80%,54,20,20,34,0
21/11/2022,11:51 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClOGP8XObN5/,"In celebration of #WorldTelevisionDay, let us thank those who make TV viewing a wonderful experience, every day. 📺 ​
#ITCANBE",896,896,866,866,2.68%,2.77%,24,16,16,8,0
21/11/2022,1:14 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClOP1G9OYWC/,"Have you thought about investing in infrastructural projects like accommodation for students in tertiary institutions? 
Then join our Investing in Impact Infrastructure Projects Webinar to know more. 
Visit here https://bit.ly/StanbicIBTCInfrastructureWebinar to register.
#ITCANBE","1,022","1,022",948,948,3.33%,3.59%,34,25,25,6,3
21/11/2022,1:14 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClOPv5vO5N_/,"You don’t have to wait, with Wella Health, you can monitor your health!​​
Get the Stanbic IBTC mobile app and log in to the @easemodule to access healthcare with as low as N600 monthly.​​
Visit the link in our bio and click on 'Download The Super App'
#ITCANBE",977,977,928,928,1.64%,1.72%,16,15,15,1,0
21/11/2022,5:40 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClOuMTOsNTs/,"Dear health practitioners, mark your calendars because you don’t want to miss out on choosing the right partners for your business.​
DATE: Wednesday, 30 November 2022​
VENUE: LinkedIn Live​​​
TIME: 11 am​​​
#ITCANBE",859,859,823,823,1.98%,2.07%,17,16,16,1,0
21/11/2022,5:57 PM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/ClOwO_NuOc7/,"The stage calls, are you ready to answer? 
Don't snooze, something is coming! 😉
#ITCANBE","1,321","1,321","1,247","1,247",2.12%,2.25%,28,25,25,2,1
20/11/2022,7:06 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClLA1qMtxcM/,"You can bring your dreams to reality by investing in the Stanbic IBTC Infrastructure Fund. ​
You can earn long-term returns and make a positive socio-economic impact.​
For more details, email infrafund@stanbicibtc.com.​
#ITCANBE","1,296","1,296","1,218","1,218",1.70%,1.81%,22,16,16,6,0
20/11/2022,1:07 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClLqJz_uvwi/,"What are the next items on your list of things to buy before December market rush? the 🙂 
#ITCANBE","1,540","1,540","1,408","1,408",2.34%,2.56%,36,21,21,15,0
20/11/2022,4:50 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClMDrHXuTIz/,"It’s not too late to invest in the stock market! ​​
Open a stockbroking account today with zero naira and start trading like a pro!​​
Send an email to StartWithZero@stanbicibtc.com to get started.​​
#ITCANBE","1,003","1,003",920,920,2.29%,2.50%,23,18,18,5,0
19/11/2022,9:00 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClIpGEZOxAB/,"Wishing all the men #HappyInternationalMensDay. 
You are loved and appreciated today and always! 💙 💙 
#ITCANBE​",0,0,0,0,0,0,2,2,2,0,0
19/11/2022,9:00 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClIpGE_u4o1/,"Wishing all the men #HappyInternationalMensDay. 
You are loved and appreciated today and always! 💙 💙 
#ITCANBE​",0,0,0,0,0,0,10,10,10,0,0
19/11/2022,10:02 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClIwL8WAEDb/,"You can start walking for a cause and also stand a chance to WIN.​
Visit the link in our bio to download the app and start walking.
#VirtualT4AL2022​
#Together4ALimb​
#ITCANBE","1,815","1,815","1,691","1,691",2.26%,2.42%,41,31,31,9,1
19/11/2022,3:11 PM,Instagram,Photo, ,https://www.instagram.com/p/ClJTpiFoHAd/,"We celebrate all the men who are giving their best to make the world a better place.
Happy International Men's Day!
#ITCANBE","1,423","1,423","1,331","1,331",3.02%,3.23%,43,36,36,6,1
18/11/2022,11:00 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClGSCy2Onxv/,"Dear women in business, it’s time to maximise this opportunity today to blossom! 🙂​
Enjoy special offers when you convert your existing current account to a Blue Blossom Current Account.​
Send an email to enterprisedirect@stanbicibtc.com to get started.​​
#ITCANBE​","1,585","1,585","1,454","1,454",1.89%,2.06%,30,20,20,9,1
18/11/2022,12:41 PM,Instagram,Video,Blessing Ubah,https://www.instagram.com/p/ClGdm6DMfEs/,"An extraordinary life awaits you!​
At Stanbic IBTC Pension Managers, we are committed to making the tomorrow of your dreams happen.​
Switch to Stanbic IBTC Pension Managers today by visiting this link - https://bit.ly/GoForAnExtraordinaryFuture ​
#ITCANBE​
#GoForAnExtraordinaryFuture","1,057","1,057",974,974,3.03%,3.29%,32,29,29,2,1
17/11/2022,11:49 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClDy3eEM6FE/,"What stocks are you planning to add to your investment portfolio? 
Let’s know in the comments section.​
 To know more about accessing the world of stock trading, email StartWithZero@stanbicibtc.com.​​
#ITCANBE",631,631,569,569,3.01%,3.34%,19,18,18,1,0
17/11/2022,12:25 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClD29g7Mviq/,"A hope for a brighter future.​
A smile on the face of a child.​
This and much more are what we can achieve by walking #Together4ALimb.​
Visit the link in our bio and click on 'Together4ALimb App'  to download the app and start walking.
#VirtualT4AL2022​
#ITCANBE","1,289","1,289","1,198","1,198",2.33%,2.50%,30,26,26,4,0
17/11/2022,1:45 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClEAHbTNtbO/,"Comment the set of emojis that best capture your year. 💙 
#ITCANBE","3,755","3,755","3,434","3,434",2%,2.18%,75,46,46,28,1
17/11/2022,4:56 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClEV-c8Mwi_/,"Need to buy airtime or do so much more with a USSD code? ​
*909# dey here for you. 🏃🏾 💃🏾 
#ITCANBE",994,994,932,932,2.41%,2.58%,24,20,20,3,1
17/11/2022,5:45 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/ClEblWADxZd/,"Protect your loved ones by getting them covered with a Stanbic IBTC Life Insurance policy today.​​​
To get started, email insure@stanbicibtc.com or call 01 270 6801​
#ITCANBE",855,855,813,813,3.04%,3.20%,26,24,24,2,0
16/11/2022,12:02 PM,Instagram,Carousel, ,https://www.instagram.com/p/ClBPmA0IO0V/,"We have an array of world class Trustee services for you.​
Visit our website o.stanbicibtctrustees.com/ to learn more or email us on SITLAgency@stanbicibtc.com or call 01 270 6800 to get started.​
#WealthWednesday​
#ITCANBE",923,923,717,717,2.49%,3.21%,23,17,17,5,1
16/11/2022,4:13 PM,Instagram,Photo,Aramide Salami,https://www.instagram.com/p/ClBsP8XtHRE/,"Are you looking to invest in or develop accommodation for students in tertiary
institutions? Then watch this space for more details.

#ITCANBE
#StanbicIBTC","1,309","1,309","1,214","1,214",2.06%,2.22%,27,23,23,1,3
16/11/2022,6:10 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/ClB5qBLpIMG/,"Tune in to Smooth FM’s Business Express tomorrow morning as Deji gives capital market updates.
Visit the link in our bio and click on 'Stanbic IBTC Capital Market Updates' to listen live.

#ITCANBE​","1,050","1,050",993,993,1.62%,1.71%,17,16,16,1,0
16/11/2022,7:35 PM,Instagram,Photo, ,https://www.instagram.com/p/ClCDaltIKe_/,"Have you downloaded the #Together4ALimb app yet?

Visit the link in our bio and click on 'Together4ALimb App' to download the app today and win ahead of the walk.

#VirtualT4AL2022
#ITCANBE",890,890,826,826,2.25%,2.42%,20,19,19,1,0
16/11/2022,8:20 PM,Instagram,Video,Blessing Ubah,https://www.instagram.com/p/ClCIel6J90x/,"Keep saving and stand a chance to be part of the winners in the next #10Reward4Saving live draw. 😎
Start today by depositing the sum of N10,000 in a savings account or @easewallet for 30 days.

#ITCANBE","1,070","1,070",992,992,2.71%,2.92%,29,26,26,2,1
15/11/2022,10:25 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck-fo77u4cU/,"How do FGN Bonds work?
What is the ROI if I invest?
How much do I need to start investing?
Send an email now to CallMe@stanbicibtc.com to get all the answers you need.
#ITCANBE","1,798","1,798","1,646","1,646",2.06%,2.25%,37,23,23,13,1
15/11/2022,12:54 PM,Instagram,Video, ,https://www.instagram.com/tv/Ck-v6rlAeBL/,"Happiness has found its way into the life of Dorcas and her family. She can now step out into a world of possibility to further her education and shine bright like the star she is. 
Visit the link in our bio and click on 'Together4ALimb App' to download the app and start walking.
#Together4ALimb
#ITCANBE","1,014","1,014",943,943,2.86%,3.08%,29,27,27,0,2
15/11/2022,2:11 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck-5gSOuLXi/,"It is time for your healthcare business to grow!
With 12 months repayment period on short term loans, you can give your healthcare business all the support it needs.
Visitshort-term https://bit.ly/StanbicIBTCHealthcareSupportScheme
to get started.

#ITCANBE",646,646,597,597,2.79%,3.02%,18,18,18,0,0
15/11/2022,2:11 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck-5gJYthj4/,"It is time for your healthcare business to grow!
With 12 months repayment period on short term loans, you can give your healthcare business all the support it needs.
Visit https://bit.ly/StanbicIBTCHealthcareSolutions to get started.

#ITCANBE",0,0,0,0,0,0,1,1,1,0,0
15/11/2022,4:43 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck_K5fdjPaa/,"Sending or receiving money from ‘the abroad’ just got seamless with eNaira wallets.
#ITCANBE",990,990,912,912,1.11%,1.21%,11,10,10,1,0
15/11/2022,5:10 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/Ck_OEPIsqoi/,"It's Day 2 of #NES28!
We are still in the business of promoting Nigeria's development and providing financial services that keeps a stable economy.

#ITCANBE","2,998","2,998","2,796","2,796",2.07%,2.22%,62,41,41,20,1
14/11/2022,7:09 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck7kaZ4DTgq/,"In this new week, we encourage you to take things one step at a time.
Don’t stress, just breathe and watch things fall into place.
#PowerUpMonday
#ITCANBE",717,717,657,657,2.79%,3.04%,20,18,18,2,0
14/11/2022,12:10 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck8G3CGjfKu/,"According to @WHO, diabetes is a major cause of blindness, kidney failure, heart attacks, stroke and lower limb amputation.
We encourage the need for better access to quality diabetes education for health professionals and people living with diabetes.
#ITCANBE",586,586,535,535,3.58%,3.93%,21,20,20,1,0
14/11/2022,1:47 PM,Instagram,Video,Blessing Ubah,https://www.instagram.com/p/Ck8RyV1oNxZ/,"In our world of Corporate and Investment Banking, trust and relationships, more than money, are the currency of business.
Visit the link in our bio and click on 'Trusted Partner' to begin.

#GoForGrowth
#TrustedPartner
#ITCANBE","1,042","1,042",951,951,2.59%,2.84%,27,24,24,2,1
14/11/2022,4:44 PM,Instagram,Carousel, ,https://www.instagram.com/p/Ck8mO9Xo6zp/,"We are honoured to have His Excellency, Prof. Yemi Osinbajo at our booth with Dr Demola Sogunle, Chief Executive Officer, Stanbic IBTC, at the #NES28
#NigeriaEconomicSummit
#ITCANBE","3,357","3,357","3,085","3,085",5.87%,6.39%,197,188,188,3,6
14/11/2022,5:13 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck8pidfs0_O/,"Hi guys, how well do you know female makeup accessories?
Show us in the comments 😃 
#ITCANBE","4,639","4,639","4,203","4,203",1.68%,1.86%,78,55,55,22,1
14/11/2022,6:55 PM,Instagram,Photo, ,https://www.instagram.com/p/Ck81SZVI9nQ/,"One step at a time, we can transform the lives of children living with limb loss.
Are you ready to walk #Together4ALimb?
Visit the link in our bio and click on 'Together4ALimb App'  to download the app and start walking.
#VirtualT4AL2022
#ITCANBE","1,185","1,185","1,121","1,121",2.36%,2.50%,28,25,25,2,1
14/11/2022,8:11 PM,Instagram,Carousel, ,https://www.instagram.com/p/Ck89-KBoZGy/,"We are honoured to have His Excellency, Prof. Yemi Osinbajo at our booth with Dr Demola Sogunle, Chief Executive Officer, Stanbic IBTC, at the #NES28
#NigeriaEconomicSummit
#ITCANBE",0,0,0,0,0,0,9,9,9,0,0
14/11/2022,9:00 PM,Instagram,Carousel, ,https://www.instagram.com/p/Ck9Dmdeo8Xt/,"We were  honoured to have His Excellency, Prof. Yemi Osinbajo at our booth with Dr Demola Sogunle, Chief Executive Officer, Stanbic IBTC, at the #NES28
#NigeriaEconomicSummit
#ITCANBE","5,752","5,752","4,869","4,869",2.99%,3.53%,172,164,164,7,1
13/11/2022,10:36 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck5XToIjTeV/,"Discounts are like melody to the ears, so be intentional about looking out for it. 😃 😃 
#ITCANBE",921,921,841,841,1.09%,1.19%,10,9,9,1,0
13/11/2022,11:27 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck5dPAouUi3/,"Seven years has nothing on us, we walk again this year, virtually for people living with limb loss. 
Join us to make impact this year.
Visit the link in our bio and click on 'Together4ALimb App' to download the app and start walking.
#Together4ALimb
#VirtualT4AL2022
#ITCANBE",638,638,595,595,1.57%,1.68%,10,10,10,0,0
13/11/2022,2:14 PM,Instagram,Carousel, ,https://www.instagram.com/p/Ck5wVLXIF69/,"Christmas came early for the winners of our #Reward4Saving October draw! 💃🏾🕺🏾
You too can enjoy the benefit of saving by depositing the sum of N10,000 in a savings account or @easewallet for 30 days.
#ITCANBE","3,833","3,833","3,006","3,006",2.01%,2.56%,77,69,69,8,0
13/11/2022,3:03 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck513WkuXPv/,"Trading stocks shouldn’t be a hassle.
We are about to show you how it’s done.
#ITCANBE",739,739,668,668,1.89%,2.10%,14,14,14,0,0
13/11/2022,5:02 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck6De0oNatd/,"In this episode, Debo loses his father to the cold hands of death, now more money has to be spent. 😔 
How will Debo cope with these unplanned expenses? 🤦🏾 
Stick around to find out.
#ITCANBE",0,0,0,0,0,0,5,5,5,0,0
13/11/2022,5:28 PM,Instagram,Carousel, ,https://www.instagram.com/p/Ck6Gg8VoE3x/,"In this episode, Debo loses his father to the cold hands of death, now more money has to be spent. 😔 
How will Debo cope with these unplanned expenses? 🤦🏾 
Stick around to find out.
#ITCANBE",0,0,0,0,0,0,4,4,4,0,0
13/11/2022,5:41 PM,Instagram,Carousel, ,https://www.instagram.com/p/Ck6IDfiIOD4/,"In this episode, Debo loses his father to the cold hands of death, now more money has to be spent. 😔 
How will Debo cope with these unplanned expenses? 🤦🏾 
Stick around to find out.
#ITCANBE","1,632","1,632","1,312","1,312",1.04%,1.30%,17,16,16,0,1
12/11/2022,10:04 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck2u2beMqvV/,"Did you know you can open an account with the super code *909#?
Follow these steps now to get started. 😌 😉 
#GoForIt
#ITCANBE",838,838,760,760,2.39%,2.63%,20,19,19,0,1
12/11/2022,10:04 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck2u2clOWCW/,"Did you know you can open an account with the super code *909#?
Follow these steps now to get started. 😌 😉 
#GoForIt
#ITCANBE",254,254,239,239,1.57%,1.67%,4,2,2,2,0
12/11/2022,12:06 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck28z9JMf8s/,"You don’t want to work for other people to enjoy. So, get your health in check. 
Get the Stanbic IBTC mobile app and log in to the @ease module to access healthcare with as low as N600 monthly.
Visit the link in our bio and click on 'Download The Super App' to get started.
#ITCANBE","1,753","1,753","1,608","1,608",1.83%,1.99%,32,26,26,5,1
12/11/2022,7:46 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ck3xdVfJJ5j/,"Let’s see your answers in the comment section 😃 
#ITCANBE","2,398","2,398","2,216","2,216",2.21%,2.39%,53,30,30,23,0
11/11/2022,10:27 AM,Instagram,Video,Blessing Ubah,https://www.instagram.com/p/Ck0MsJYsJal/,"✋🏾 If Friday is one of your happiest days of the week.
#TGIF
#ITCANBE",902,902,828,828,3.22%,3.50%,29,20,20,7,2
