Date,Time,Network,Content Type,Sent by,Post,Impressions,Organic Impressions,Engagement Rate (per Impression),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Post Clicks (All),Video Views,Organic Video Views,Poll Votes
05/06/2022,5:16 PM,LinkedIn,Photo,Blessing Ubah,"Getting your embassy letter is very easy. 
Simply visit your app store to download the Stanbic IBTC App to get started.
#ITCANBE
",929,929,4.20%,39,12,12,0,0,2.91%,27,27,0,0,0
04/06/2022,8:08 AM,LinkedIn,Photo,Blessing Ubah,"Type ‘YES’ if you believe you will be part of the winners of the May #Reward4Saving2 promo
It’s two more days to go! 💃🏽 🕺🏽 
#ITCANBE
","1,330","1,330",3.16%,42,19,19,10,0,0.98%,13,13,0,0,0
04/06/2022,11:42 AM,LinkedIn,Photo,Blessing Ubah,"Sustainable Development Goal (SDG) 17 is focused on strengthening the means of implementing and revitalising the global partnership for sustainable development. 
Visit https://lnkd.in/dZUNnBQc to know more about SDG 17. 

#SDG17 
#GlobalPartnerships 
#SustainabilitySaturday 
#ITCANBE",471,471,3.61%,17,10,10,1,0,1.27%,6,6,0,0,0
04/06/2022,6:05 PM,LinkedIn,Photo,Blessing Ubah,"An opportunity to be empowered is here!
Join us on Thursday, 09 June 2022 at 12:00pm, let’s talk about money and much more. 
Visit this link to register now: https://lnkd.in/d_JYpkp9
#ITCANBE
",639,639,3.91%,25,12,12,1,2,1.56%,10,10,0,0,0
03/06/2022,9:18 AM,LinkedIn,Photo,Blessing Ubah,"In three days, more winners will emerge from the Stanbic IBTC #Reward4Saving2 promo.
Are you ready? 💃🏾🕺🏾
#ITCANBE",476,476,2.73%,13,9,9,0,3,0.21%,1,1,0,0,0
03/06/2022,11:15 AM,LinkedIn,Photo,Blessing Ubah,"As your financial partner, we are still in the business of making life easy for you.
With the Stanbic IBTC Prepaid Card, you get to be in control of your spending and finances.
#ITCANBE
",861,861,2.67%,23,10,10,3,1,1.05%,9,9,0,0,0
03/06/2022,2:02 PM,LinkedIn,Photo,Blessing Ubah,"With Stanbic IBTC Pension Managers, you can be at peace knowing that you are well taken care of and your pension secure.
Visit https://lnkd.in/dcV2Y4Uc and come over to the 💙  side.
#GoForIt
#ITCANBE
",560,560,3.21%,18,11,11,0,3,0.71%,4,4,0,0,0
03/06/2022,4:00 PM,LinkedIn,Video,Blessing Ubah,"Your quota will go a long way in the development of Nigeria’s economy. 
Invest in the Stanbic IBTC Infrastructure Fund today by visiting https://lnkd.in/dNnpNfqj to begin.
#ITCANBE
",433,433,0.23%,1,1,1,0,0,0%,0,0,48,48,0
03/06/2022,5:30 PM,LinkedIn,Photo,Blessing Ubah,"Wondering how the stock market operates or how to get started with investing in stocks? 
We’ve got your back! 😉 
Send an email to StartWithZero@stanbicibtc.com today!
#ITCANBE
#StartWithZero
",282,282,1.06%,3,2,2,1,0,0%,0,0,0,0,0
03/06/2022,7:15 PM,LinkedIn,Photo,Blessing Ubah,"No time for stories that touch.
Now is the time to plan for the unexpected and we’ve got your back! 😉 
Visit https://lnkd.in/djUsFutr to get started today!
#ITCANBE
",324,324,2.47%,8,5,5,0,1,0.62%,2,2,0,0,0
02/06/2022,9:13 AM,LinkedIn,Photo,Blessing Ubah,"Say these affirmations and believe it because #ITCANBE
","1,543","1,543",6.22%,96,36,36,2,6,3.37%,52,52,0,0,0
02/06/2022,12:16 PM,LinkedIn,Photo,Blessing Ubah,"Overall best in blogging, but are you securing your future? 
You can start today with flexible contributions to secure a memorable future with the Stanbic IBTC MicroPension plan.
​Visit https://lnkd.in/dZxFg3s5  now to get started.
This message is brought to you by National Pension Commission (PenCom) and Pension Operators of Nigeria (PenOp)​.
#ITCANBE
",748,748,2.67%,20,10,10,0,0,1.34%,10,10,0,0,0
02/06/2022,3:00 PM,LinkedIn,Photo,Blessing Ubah,"Looking for a safe, low risk investment option? 
Try FGN Bonds and what's more? 
You can invest with as little as NGN5000.
To get started, send an email to CallMe@stanbicibtc.com.
#ITCANBE
",388,388,1.29%,5,2,2,0,0,0.77%,3,3,0,0,0
02/06/2022,6:00 PM,LinkedIn,Photo,Blessing Ubah,"Did you miss our Ladies At The Table Empowerment session?
We’ve got you! 😉 
Here are some highlights from the session.
 #ITCANBE
",501,501,2.40%,12,7,7,0,0,1%,5,5,0,0,0
01/06/2022,1:05 PM,LinkedIn,Video,Blessing Ubah,"May the remaining part of the year be the best for you!
Happy new month 💙 
#ITCANBE
","1,416","1,416",2.47%,35,13,13,4,2,1.13%,16,16,201,201,0
01/06/2022,2:31 PM,LinkedIn,Photo,Blessing Ubah,"Dear woman, 
You have all it takes to excel, and as your financial partner, we are here to empower you.
Join us on Thursday, 09 June 2022 at 12:00pm, to get empowered!
Visit this link to register now: https://lnkd.in/d_JYpkp9
#ITCANBE
",334,334,3.89%,13,4,4,0,0,2.69%,9,9,0,0,0
01/06/2022,4:32 PM,LinkedIn,Photo, ,"Join Babatunde Ogunleye tomorrow morning live on Smooth FM's Business Express show.

Listen live here: https://lnkd.in/dme4jNj

#ITCANBE

",245,245,1.22%,3,3,3,0,0,0%,0,0,0,0,0
01/06/2022,5:57 PM,LinkedIn,Photo, ,"Your employees make your organisation. Secure their welfare with our Group Life Insurance today!
Visit www.linktr.ee/StanbicIBTC and click on ‘Stanbic IBTC Insurance Products‘ to get Group Life Insurance.
#WealthWednesday
#ITCANBE
#GoForIt
",917,917,4.91%,45,19,19,0,0,2.84%,26,26,0,0,0
31/05/2022,9:50 AM,LinkedIn,Photo,Blessing Ubah,"Stay updated with your insurance module on the Stanbic IBTC Super App.​
Visit your app store now to update or download the mobile app.​
#ITCANBE",323,323,1.55%,5,5,5,0,0,0%,0,0,0,0,0
31/05/2022,10:01 AM,LinkedIn,Video, ,"The soft life, the good life, the best life… All lies with having a trusted cover!
Visit https://lnkd.in/dUxMEzpd to get started with a Life Insurance plan today.
#InsuranceCoverMe
#GoForLife
#ITCANBE",564,564,1.24%,7,4,4,0,0,0.53%,3,3,63,63,0
31/05/2022,11:05 AM,LinkedIn,Photo,Blessing Ubah,"Monitor activities and trend analysis in the Nigerian stock market from the comfort of your homes and offices. ​
To know more about stocks, please send an email to StartWithZero@stanbicibtc.com​
#ITCANBE",459,459,2.40%,11,3,3,0,1,1.53%,7,7,0,0,0
31/05/2022,3:33 PM,LinkedIn,Photo,Blessing Ubah,"The growth of your pharmacy depends largely on the financial strength you put into the business. 
Maximise the Stanbic IBTC lending solution in partnership with MegaMedx.​​
For more details, please visit here: https://lnkd.in/dt-vNSKD​​
#ITCANBE",277,277,2.53%,7,6,6,0,0,0.36%,1,1,0,0,0
31/05/2022,5:12 PM,LinkedIn,Photo,Blessing Ubah,"You walk into the next month with fulfilments. 
Amen! 💪🏽 
#ITCANBE",734,734,4.22%,31,13,13,4,1,1.77%,13,13,0,0,0
30/05/2022,8:39 AM,LinkedIn,Photo,Blessing Ubah,"Let’s start the new week by showing appreciation to people around us. 
Tag someone and let them know they are valuable. 💙  ​
#PowerUpMonday​
#ITCANBE",995,995,3.12%,31,16,16,0,1,1.41%,14,14,0,0,0
30/05/2022,12:00 PM,LinkedIn,Photo,Blessing Ubah,"Get instant value for transactions when your customers make payments using your unique NIBSS NQR code.​
Visit any of our branches or download the NQR Merchant App to generate your unique QR Code for your business.​
#ITCANBE",510,510,1.76%,9,7,7,0,0,0.39%,2,2,0,0,0
30/05/2022,5:49 PM,LinkedIn,Video, ,"The soft life, the good life, the best life… All lies with having a trusted cover!
Visit https://lnkd.in/dUxMEzpd to get started with a Life Insurance plan today.
#InsuranceCoverMe
#GoForLife
#ITCANBE",461,461,1.30%,6,1,1,0,1,0.87%,4,4,54,54,0
29/05/2022,9:57 AM,LinkedIn,Photo,Blessing Ubah,"Your business needs funding to start and continue running. 
Take advantage of the Stanbic IBTC SME Loan today!​
Visit https://lnkd.in/dPD35NM2 to learn more.​
#ITCANBE​",539,539,2.97%,16,11,11,1,0,0.74%,4,4,0,0,0
29/05/2022,5:31 PM,LinkedIn,Photo,Blessing Ubah,"Do you have questions on selling your FGN Bond? We have answers to your worries.​
Send an email to CallMe@stanbicibtc.com now to get started with FGN Saving Bond.​

#ITCANBE",652,652,1.53%,10,6,6,0,1,0.46%,3,3,0,0,0
28/05/2022,9:35 AM,LinkedIn,Photo,Blessing Ubah,"Sustainable Development Goal (SDG) 3 is focused on ensuring healthy living and promoting well-being for all. ​
Visit https://lnkd.in/d2xJG9C and click on ‘Sustainability Saturday’ to know more about SDG 3​
#SDG3​
#GoodHealthandWellbeing​
#SustainabilitySaturday​
#ITCANBE",313,313,1.92%,6,6,6,0,0,0%,0,0,0,0,0
28/05/2022,11:21 AM,LinkedIn,Video,Blessing Ubah,"Going for your weekend shopping? ​
Using the QR Code option is another easy way to make payments. ​
Visit your app store now to download or update the Stanbic IBTC Mobile App!​
#GoForIt​
#ITCANBE",849,849,1.41%,12,6,6,0,0,0.71%,6,6,93,93,0
28/05/2022,2:43 PM,LinkedIn,Photo,Blessing Ubah,"Do you have questions on selling your FGN Bond? 
We have answers to your worries.​
Send an email to CallMe@stanbicibtc.com now to get started with FGN Saving Bond.​
#ITCANBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/05/2022,5:55 PM,LinkedIn,Photo,Blessing Ubah,"Live life on your own terms. 
Join Ibiyemi Mezu and other amazing women on “The Woman and Her Money”, 09 June 2022 at 12:00pm, and get tips on wealth management, investment and so much more.​
Sign up to attend the webinar now: https://lnkd.in/d_JYpkp9​
#ITCANBE","1,010","1,010",5.54%,56,23,23,0,1,3.17%,32,32,0,0,0
27/05/2022,8:41 AM,LinkedIn,Video,Blessing Ubah,"To the future leaders who bring joy to our lives and hopes to our path, Happy Children's Day from all of us at Stanbic IBTC.
#MyDreamsCanBe
#ITCANBE
",764,764,1.44%,11,5,5,0,2,0.52%,4,4,99,99,0
27/05/2022,6:12 PM,LinkedIn,Video,Blessing Ubah,"You don’t want to miss the next opportunity to be part of our lucky winners. ​
Deposit a minimum of N10,000 in your existing or new savings account or @easewallet for a minimum of 30 days to qualify for the promo.​
#Reward4Saving2​
#ITCANBE",990,990,1.31%,13,6,6,0,0,0.71%,7,7,123,123,0
26/05/2022,8:31 AM,LinkedIn,Photo,Aramide Salami,"The Stanbic IBTC 10th Annual General Meeting will be taking place today, at 10am. Stream the event live on any of our Facebook, Twitter and LinkedIn channels. 

#ITCANBE","1,034","1,034",6.87%,71,17,17,0,3,4.93%,51,51,0,0,0
26/05/2022,10:00 AM,LinkedIn,Video, ,"Stanbic IBTC 10th Annual General Meeting 

Welcome to Stanbic IBTC 10th Annual General Meeting 2022","1,992","1,992",6.53%,130,67,67,45,0,0.90%,18,18,"1,082","1,082",0
26/05/2022,10:42 AM,LinkedIn,Video, ,"Stanbic IBTC 10th Annual General Meeting 

Welcome to Stanbic IBTC 10th Annual General Meeting 2022","2,662","2,662",6.72%,179,86,86,39,2,1.95%,52,52,"1,453","1,453",0
26/05/2022,1:21 PM,LinkedIn,Photo,Blessing Ubah,"It is not enough to just start a business, #StayingINBusiness is what counts. 
Let our Brokers help you get the best insurance deals and packages to ensure the longevity of your business. 
Visit this link to get started now - https://lnkd.in/dXeWeK72
#GoForIt​
#ITCANBE",373,373,4.29%,16,11,11,0,0,1.34%,5,5,0,0,0
26/05/2022,3:00 PM,LinkedIn,Photo,Blessing Ubah,"Why worry over landlord wahala when you can get the house of your dream?​
Take advantage of the Stanbic IBTC Home Loan today.​
Visit https://lnkd.in/dvu24g-a to get started.​
#ITCANBE",724,724,4.14%,30,12,12,0,1,2.35%,17,17,0,0,0
26/05/2022,6:02 PM,LinkedIn,Photo,Blessing Ubah,"Trade stocks from the Nigerian stock market with ease from anywhere in the world. ​
Let’s help you get started. 
Send an email to StartWithZero@stanbicibtc.com today!​
#ITCANBE​
#StartWithZero",372,372,2.69%,10,8,8,0,1,0.27%,1,1,0,0,0
25/05/2022,12:16 PM,LinkedIn,Photo,Blessing Ubah,"As we celebrate #AfricaDay2022, let’s make conscious effort to eat right and healthy.
#GoForIt
#ITCANBE
",423,423,1.42%,6,4,4,0,1,0.24%,1,1,0,0,0
25/05/2022,1:43 PM,LinkedIn,Photo, ,"For important updates on the Nigerian Capital market, tune in to Smooth FM's Business Express by 6:30am tomorrow to listen to Bimbo Moronkola, Equities Trader, Stanbic IBTC Stockbrokers.
You can listen live here: https://lnkd.in/dme4jNj
#ITCANBE
",386,386,3.37%,13,7,7,0,0,1.55%,6,6,0,0,0
25/05/2022,3:01 PM,LinkedIn,Photo,Blessing Ubah,"It is not enough to just start a business. 
#StayingINBusiness is what counts. 
Let our Brokers help you get the best insurance deals and packages to ensure longevity of your business. 
Visit this link to get started now - https://lnkd.in/djUsFutr

#GoForIt
#ITCANBE

",0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/05/2022,5:08 PM,LinkedIn,Video,Blessing Ubah,"You can support in the development of Nigeria's economy by investing in the Stanbic IBTC Infrastructure Fund today.
Visit https://lnkd.in/dNnpNfqj to begin.
#ITCANBE
",350,350,0.29%,1,1,1,0,0,0%,0,0,35,35,0
25/05/2022,5:38 PM,LinkedIn,Photo, ,"With the Stanbic IBTC Education Trust, you can protect your children’s future and set them up for a better tomorrow.​

Visit www.linktr.ee/StanbicIBTC and click 'Save towards your children’s education with a Stanbic IBTC Education Trust’ to get started​.

#WealthWednesday​
#GoForIt
","1,119","1,119",10.01%,112,3,3,0,1,9.65%,108,108,0,0,0
25/05/2022,5:51 PM,LinkedIn,Video, ,"Stanbic IBTC 9th Annual General Meeting 

Annual General Meeting",485,485,7.42%,36,25,25,0,0,2.27%,11,11,585,585,0
25/05/2022,5:52 PM,LinkedIn,Video, ,"Stanbic IBTC 9th Annual General Meeting 

Annual General Meeting",506,506,18.97%,96,48,48,31,0,3.36%,17,17,807,807,0
25/05/2022,6:30 PM,LinkedIn,Photo,Blessing Ubah,"Every business person deserves a blissful retirement. 
With the Stanbic IBTC Micro Pension plan, you can start small with flexible contributions to secure a memorable future.​
Visit https://lnkd.in/dZxFg3s5 to get started.
This message is brought to you by National Pension Commission (PenCom) and Pension Operators of Nigeria (PenOp)​.
#ITCANBE
",410,410,2.20%,9,5,5,0,2,0.49%,2,2,0,0,0
25/05/2022,6:30 PM,LinkedIn,Photo,Blessing Ubah,"Stanbic IBTC will never ask for your log-in details. Please, beware of scammers.​
Our verified social media pages can be found on​
Facebook - https://lnkd.in/g7vAiA6​
Twitter - https://lnkd.in/g6Uzbwy​
LinkedIn - https://lnkd.in/gDCztRV​
YouTube - https://lnkd.in/g5Fvjwe​
Instagram - https://lnkd.in/gxJW_Bm  ​
#ITCANBE​
#GoForIt",359,359,2.79%,10,3,3,0,2,1.39%,5,5,0,0,0
25/05/2022,7:01 PM,LinkedIn,Photo,Blessing Ubah,"Join Bunmi Olarinoye and other amazing woman on “The Woman and Her Money”, 09 June 2022 at 12:00pm, and get tips on wealth management, investment and so much more.
Sign up to attend the webinar now: https://lnkd.in/d_JYpkp9
#ITCANBE
","1,234","1,234",6.89%,85,39,39,0,2,3.57%,44,44,0,0,0
25/05/2022,8:01 PM,LinkedIn,Photo, ,"What does Africa mean to you?
This is what our leaders have to say.

#AfricaDay2022
#GoForIt
#ITCANBE","9,926","9,926",27.32%,"2,712",148,148,3,7,25.73%,"2,554","2,554",0,0,0
24/05/2022,9:00 AM,LinkedIn,Photo,Blessing Ubah,"We have made planning for retirement easy with our pension calculator.
Visit your app store now to update or download the Super App.
#ITCANBE
",588,588,3.40%,20,9,9,0,0,1.87%,11,11,0,0,0
24/05/2022,1:57 PM,LinkedIn,Photo,Blessing Ubah,"This is an opportunity to make your money work for you!
Send an email to StartWithZero@stanbicibtc.com, let’s help you get started.
#ITCANBE
#StartWithZero
","1,205","1,205",2.16%,26,10,10,2,0,1.16%,14,14,0,0,0
24/05/2022,3:52 PM,LinkedIn,Photo,Blessing Ubah,"All the financial support you need and more lies with the medical equipment finance from Stanbic IBTC and MegaMedx.
Visit https://lnkd.in/dt-vNSKD to get started. 
#ITCANBE
",500,500,2.40%,12,9,9,0,0,0.60%,3,3,0,0,0
23/05/2022,9:00 AM,LinkedIn,Video,Blessing Ubah,"In this new week, let nobody dim your light.
Go forth and shine! 🙂 
#MondayMotivation
#ITCANBE
","1,379","1,379",2.10%,29,15,15,1,0,0.94%,13,13,128,128,0
23/05/2022,11:14 AM,LinkedIn,Photo,Blessing Ubah,"
Obstetric fistula is one of the most severe and tragic childbirth injuries. 
Let’s come together to prevent it, by providing access to skilled birth attendants and high-quality emergency obstetric care.
#ITCANBE

","1,375","1,375",2.98%,41,14,14,3,0,1.75%,24,24,0,0,0
23/05/2022,1:00 PM,LinkedIn,Photo,Blessing Ubah,"Have you been receiving complaints about the long time your customers spend on payment queues? 
Give them an easy way to pay you through your NIBSS NQR code!​
Visit any of our branches or download the NQR Merchant App to generate your unique QR Code for your business.​
#ITCANBE
",545,545,2.75%,15,11,11,0,0,0.73%,4,4,0,0,0
22/05/2022,9:00 AM,LinkedIn,Photo,Blessing Ubah,"Keep your business running smoothly with the Stanbic IBTC SME Loan today!
Visit https://lnkd.in/dPD35NM2 to learn more.
#ITCANBE
",775,775,4.26%,33,17,17,1,1,1.81%,14,14,0,0,0
21/05/2022,8:00 AM,LinkedIn,Photo,Blessing Ubah,"One hour to go, trust you are pumped up for an interesting and enlightening discussion with the women-in-tech. 
Visit https://lnkd.in/dNAEdGXj to register if you are yet to do so.
See you soon!
#WomenInTech
#ITCANBE
",938,938,5.01%,47,20,20,0,0,2.88%,27,27,0,0,0
21/05/2022,12:46 PM,LinkedIn,Photo,Blessing Ubah,"Sustainable Development Goal (SDG) 3 is focused on ensuring healthy living and promoting well-being for all. 
Visit https://lnkd.in/d2xJG9C and click  on ‘Sustainability Saturday’ to know more about SDG 3
#SDG3
#GoodHealthandWellbeing
#SustainabilitySaturday
#ITCANBE
",366,366,3.01%,11,6,6,0,0,1.37%,5,5,0,0,0
21/05/2022,3:00 PM,LinkedIn,Photo,Blessing Ubah,"Wondering what the FGN Bonds has to offer you as an investor?
Let these few points convince you
Send an email to CallMe@stanbicibtc.com now to begin.
#ITCANBE
",737,737,4.07%,30,15,15,0,1,1.90%,14,14,0,0,0
21/05/2022,3:25 PM,LinkedIn,Photo,Blessing Ubah,"Today, we join the world in spreading the message of peace and humanity, and mutual harmony among people. 
#AntiTerrorismDay
#ITCANBE

",816,816,3.19%,26,14,14,0,1,1.35%,11,11,0,0,0
21/05/2022,5:02 PM,LinkedIn,Video,Blessing Ubah,"Did you notice some unidentified transactions on your account, and would like to freeze it?
Follow these three steps to do that now on the Super App.
#ITCANBE 
",984,984,1.42%,14,7,7,0,0,0.71%,7,7,135,135,0
21/05/2022,7:00 PM,LinkedIn,Photo,Blessing Ubah,"Why think small when you can go bigger by owning a home. 
Let us make your dream come true with our Home Loan.
Visit https://lnkd.in/dvu24g-a to get started.
#ITCANBE
",949,949,3.90%,37,13,13,1,1,2.32%,22,22,0,0,0
20/05/2022,9:02 AM,LinkedIn,Photo,Blessing Ubah,"Don’t lose guard!
We will never ask you for your BVN or banking login details over the phone or via SMS or email.​
If you suspect that your account has been compromised, please call 0700 333 3333.​
#ITCANBE
",913,913,3.07%,28,12,12,2,1,1.42%,13,13,0,0,0
20/05/2022,10:51 AM,LinkedIn,Photo,Blessing Ubah,"Tomorrow, we learn how to 'Break The Glass Ceiling' in the tech industry😉
Visit https://lnkd.in/dNAEdGXj to register now.
#WomenInTech
#ITCANBE
",437,437,3.89%,17,6,6,0,1,2.29%,10,10,0,0,0
20/05/2022,12:21 PM,LinkedIn,Photo,Blessing Ubah,"With a Life Insurance Plan from Stanbic IBTC, Anna has put plans in place to ensure peace of mind in the future.
Are you covered? 
Visit https://lnkd.in/dUxMEzpd to sign up for a Life Insurance plan.
#InsuranceCoverMe
#GoForLife
#ITCANBE
",565,565,3.19%,18,9,9,0,0,1.59%,9,9,0,0,0
20/05/2022,4:53 PM,LinkedIn,Photo,Blessing Ubah,"You want to know how? 
Deposit N10,000 in your existing or new savings account or @easewallet for a minimum of 30 days to join the millionaire gang in the #Reward4Saving promo.
Read T and Cs here:
https://lnkd.in/d8Q3gcMx
#ITCANBE
",948,948,4.85%,46,11,11,2,3,3.16%,30,30,0,0,0
19/05/2022,9:00 AM,LinkedIn,Photo,Blessing Ubah,"Trade stocks the faster and smarter way. It's free to get started and we are here to help. 
Send an email to StartWithZero@stanbicibtc.com to begin!
#ITCANBE
#StartWithZero
",571,571,2.98%,17,6,6,3,0,1.40%,8,8,0,0,0
19/05/2022,12:27 PM,LinkedIn,Video, ,"You can contribute in building legacies by investing in the Stanbic IBTC Infrastructure Fund.
Visit https://lnkd.in/dNnpNfqj to begin.
#ITCANBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/05/2022,12:29 PM,LinkedIn,Video, ,"You can contribute in building legacies by investing in the Stanbic IBTC Infrastructure Fund.
Visit https://lnkd.in/dNnpNfqj to begin.
#ITCANBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/05/2022,12:31 PM,LinkedIn,Video, ,"You can contribute in building legacies by investing in the Stanbic IBTC Infrastructure Fund.
Visit https://lnkd.in/dNnpNfqj to begin.
#ITCANBE",494,494,2.02%,10,8,8,0,1,0.20%,1,1,58,58,0
19/05/2022,2:05 PM,LinkedIn,Photo,Blessing Ubah,"Get up to 10% cashback on POS and Web spend when you pay using your Stanbic IBTC Visa Credit Card.
Promo is valid till 15 June 2022.
#GoForIt
#ITCANBE
",534,534,3.37%,18,8,8,1,0,1.69%,9,9,0,0,0
19/05/2022,3:04 PM,LinkedIn,Video, ,"You can contribute in building legacies by investing in the Stanbic IBTC Infrastructure Fund.
Visit https://lnkd.in/dNnpNfqj to begin.
#ITCANBE
",401,401,2.49%,10,6,6,0,0,1%,4,4,51,51,0
18/05/2022,9:00 AM,LinkedIn,Photo,Blessing Ubah,"Hey lady, are you ready to be empowered?
Join the 2022 edition of the Ladies at the Table Empowerment Series (LATTES) happening in an hour!
If you haven't registered, do so now: https://lnkd.in/eFKsjdV4 

#LATTES
#ITCANBE
",452,452,3.98%,18,7,7,0,0,2.43%,11,11,0,0,0
18/05/2022,12:14 PM,LinkedIn,Photo,Blessing Ubah,"No one plans to get sick or hurt, but most people need medical care at some point. You need health insurance to safeguard your wealth. 
Visit https://lnkd.in/d2xJG9C and click on ‘Let’s help you get the best insurance deals’ to begin.
#WealthWednesday
#GoForIt
#ITCANBE",326,326,1.84%,6,5,5,0,0,0.31%,1,1,0,0,0
18/05/2022,1:40 PM,LinkedIn,Photo, ,"Congratulations to the 70 winners from the Reward4Saving promo April Draws!

It can be your turn next month, all you need to do is deposit a minimum of N10,000 in your existing or new savings account or @easewallet for a minimum of 30 days to qualify for the promo.

#Reward4Saving2
#ITCANBE

","2,226","2,226",12.22%,272,25,25,2,1,10.96%,244,244,0,0,0
18/05/2022,3:30 PM,LinkedIn,Photo,Blessing Ubah,"As a woman, you deserve a soft life and comfort. Sign up to attend the webinar “ The Woman and Her Money’ on 09 June 2022 at 12:00pm and get tips on wealth management, investment and so much more. 
Register here: https://lnkd.in/d_JYpkp9
#ITCANBE",596,596,5.20%,31,17,17,0,0,2.35%,14,14,0,0,0
18/05/2022,7:51 PM,LinkedIn,Video,Blessing Ubah,"Hey aspiring tech sis, this is your invite!
Join us for a panel discussion in building a career in tech, tagged 'Break The Glass Ceiling', with incredible women in the tech industry. 
Visit https://lnkd.in/dNAEdGXj to register.
We hope to see you there.
#WomenInTech
#ITCANBE
","1,356","1,356",3.54%,48,22,22,2,1,1.70%,23,23,253,253,0
17/05/2022,7:05 AM,LinkedIn,Video,Blessing Ubah,"More discounts, just because #Umatter!​

Use your e-loyalty card at any of these merchants and get a percentage off.​

Visit https://lnkd.in/d7q_SGH3 to learn more.​

#ITCANBE ",851,851,2%,17,8,8,0,1,0.94%,8,8,97,97,0
17/05/2022,4:08 PM,LinkedIn,Photo,Blessing Ubah,"Be on top of your insurance policies through the Stanbic IBTC Super App.
Visit your app store now to update or download the mobile app.
#ITCANBE
",373,373,4.56%,17,9,9,1,0,1.88%,7,7,0,0,0
17/05/2022,5:52 PM,LinkedIn,Photo,Blessing Ubah,"Commit to taking better care of yourself by checking your blood pressure regularly. 

#WorldHypertensionDay
#ITCANBE ",625,625,3.04%,19,14,14,0,0,0.80%,5,5,0,0,0
16/05/2022,8:36 AM,LinkedIn,Photo,Blessing Ubah,"The new week comes with new opportunities, make them count.​

Have a great week ahead!​

#PowerUpMonday​

#MondayMotivation​

#ITCANBE",609,609,3.12%,19,13,13,1,0,0.82%,5,5,0,0,0
16/05/2022,12:20 PM,LinkedIn,Photo,Blessing Ubah,"Calling all business owners!​

With the NIBSS NQR code, you can receive payments from your customers in a faster and cheaper way. ​

Visit any of our branches or download the NQR Merchant App to generate your unique QR Code for your business.​

#ITCANBE",417,417,2.64%,11,5,5,1,0,1.20%,5,5,0,0,0
16/05/2022,12:31 PM,LinkedIn,Photo,Blessing Ubah,"Prepare to be inspired and motivated to go for your goals.
Reserve your spot the Ladies at the Table Empowerment Series 2022 now.
Visit here to register: https://lnkd.in/eFKsjdV4 

DATE: Wednesday, 18 May 2022.

TIME: 10 AM

#LATTES
#ITCANBE
",554,554,5.23%,29,20,20,0,0,1.62%,9,9,0,0,0
16/05/2022,12:37 PM,LinkedIn,Photo, ,"Live life on your own terms.
Get ready to start your own journey to financial freedom now.
Watch this space.
#ITCANBE
#GoForMore",374,374,1.34%,5,4,4,0,0,0.27%,1,1,0,0,0
16/05/2022,4:14 PM,LinkedIn,Video,Blessing Ubah,"Our track record speaks for itself, so let us help you reach for the stars. 
Visit https://lnkd.in/dEbCA3PK to get started.

#ITCANBE
#GoForIt",875,875,1.94%,17,7,7,1,0,1.03%,9,9,113,113,0
15/05/2022,9:06 AM,LinkedIn,Photo,Blessing Ubah,"The best gift you can give them is the gift of a secured future.
Open a Children Education Savings Scheme account for your child today.
Visit https://lnkd.in/dMvhQr8 to learn more
#ITCANBE
",556,556,2.88%,16,7,7,2,0,1.26%,7,7,0,0,0
15/05/2022,3:21 PM,LinkedIn,Photo,Blessing Ubah,"We can assist in keeping your business running! ​

Take advantage of the Stanbic IBTC SME Loan today!​

Visit www.stanbicibtcbank.com to learn more.​

#ITCANBE",859,859,2.79%,24,7,7,0,0,1.98%,17,17,0,0,0
14/05/2022,9:00 AM,LinkedIn,Photo,Blessing Ubah,"Sustainable Development Goal (SDG) 3 is focused on ensuring healthy living and promoting well-being for all. 
Visit https://lnkd.in/d2xJG9C and click  on ‘Sustainability Saturday’ to know more about SDG 3
#SDG3
#GoodHealthandWellbeing
#SustainabilitySaturday
#ITCANBE
",397,397,2.77%,11,8,8,0,1,0.50%,2,2,0,0,0
14/05/2022,1:50 PM,LinkedIn,Photo,Blessing Ubah,"Did you know that the FGN Bonds is a great way to put money aside for upcoming projects and you can start with as little as N5000?
Send an email to CallMe@stanbicibtc.com now to begin.
#ITCANBE
",880,880,2.05%,18,8,8,1,2,0.80%,7,7,0,0,0
14/05/2022,3:34 PM,LinkedIn,Photo,Blessing Ubah,"Your seat at the table awaits!

Register now to secure your spot at the 2022 edition of the Ladies at the Table Empowerment Series (LATTES)

DATE: Wednesday, 18 May 2022.

TIME: 10 AM

Have you registered?

Visit https://lnkd.in/eFKsjdV4 to register.

#LATTES
#ITCANBE

",631,631,4.44%,28,10,10,0,0,2.85%,18,18,0,0,0
13/05/2022,8:42 AM,LinkedIn,Video,Blessing Ubah,"Building legacies that last is not far-fetched.
Invest in the Stanbic IBTC Infrastructure Fund, and make a positive impact in the economy.
Visit https://lnkd.in/dNnpNfqj to begin.
#ITCANBE
",732,732,1.64%,12,11,11,0,1,0%,0,0,96,96,0
